TimeMs	ThrottleRaw	BrakeRaw	ClutchRaw	ThrottleRatio	BrakeRatio	ClutchRatio
4454	0	32415	0	0.0000	1.0000	0.0000
4485	0	41640	0	0.0000	1.0000	0.0000
4516	0	54772	0	0.0000	1.0000	0.0000
4547	0	65150	0	0.0000	1.0000	0.0000
4579	0	65535	0	0.0000	1.0000	0.0000
4610	0	65535	0	0.0000	1.0000	0.0000
4625	0	65535	0	0.0000	1.0000	0.0000
4656	0	65535	0	0.0000	1.0000	0.0000
4687	0	65535	0	0.0000	1.0000	0.0000
4718	0	65535	0	0.0000	1.0000	0.0000
4748	0	65535	0	0.0000	1.0000	0.0000
4778	0	65535	0	0.0000	1.0000	0.0000
4810	0	65535	0	0.0000	1.0000	0.0000
4841	0	65535	0	0.0000	1.0000	0.0000
4856	0	65535	0	0.0000	1.0000	0.0000
4887	0	65535	0	0.0000	1.0000	0.0000
4903	0	65535	0	0.0000	1.0000	0.0000
4934	0	62331	0	0.0000	1.0000	0.0000
4964	0	55925	0	0.0000	1.0000	0.0000
4995	0	47661	0	0.0000	1.0000	0.0000
5026	0	36258	0	0.0000	1.0000	0.0000
5057	0	23510	0	0.0000	1.0000	0.0000
5088	0	11402	0	0.0000	1.0000	0.0000
5104	0	8007	0	0.0000	1.0000	0.0000
5135	0	0	0	0.0000	0.0000	0.0000
5166	0	0	0	0.0000	0.0000	0.0000
5182	0	0	0	0.0000	0.0000	0.0000
5213	0	0	0	0.0000	0.0000	0.0000
5244	0	0	0	0.0000	0.0000	0.0000
5260	0	0	0	0.0000	0.0000	0.0000
5291	0	0	0	0.0000	0.0000	0.0000
5322	0	0	0	0.0000	0.0000	0.0000
5338	0	0	0	0.0000	0.0000	0.0000
5370	0	0	0	0.0000	0.0000	0.0000
5401	0	0	0	0.0000	0.0000	0.0000
5417	0	0	0	0.0000	0.0000	0.0000
